На одній із контрольних у вас випала шпаргалка. Заплатіть $100 в банк за порушення кодексу честі.,change_balance,-100
Ви не склали нормативи з фізичного виховання. Перейдіть на клітинку 'Сесія'.,gotojail,0
Ви впали із Кловських сходів. Прийдеться витратитися на лікування.Заплатіть $50 в банк.,change_balance,-50
Упс; здається хтось(Ви) переплутали жіночий туалет з чоловічим. Завідуюча стягує з вас штраф у $50.,change_balance,-50
Ви успішно здали свою кімнату в оренду старшокурсникам. Отримайте $100., change_balance,100
Вітаємо; у вас день народження. Усі гравці скидаються вам на подарунок по $25.,giftfrompalyers, 25
Здається; сьогодні вихідний. Якесь свято; чи шо? Перейдіть на клітинку 'Вихідний'.,freeparking,0
Ви придбали енергетик; щоб встигнути закрити дедлайни; і це був правильний вибір. Перейдіть на клітинку Старт.,start,0
Вітаємо, ви виграли шару, тому тепер зможете закрити один предмет без додаткових зусиль. Отримайте картку виходу з сесії.,jailcard,0
Вас пов'язало ДНД. Прийдеться відкуповуватися. Заплатіть по $20 за кожну картку нерухомості,taxperhouse,20
Ви списали дипломну роботу; але не змогли її захистити. Заплатіть $200 в банк.,change_balance, -200
У системі оплати за гуртожиток стався збій; вам потрібно провести оплату ще раз.,change_balance,-100
На campus.kpi.ua знову збої; тому прийдеться скласти сесію ще раз). Перейдіть на клітинку 'Сесія',gotojail,0
